Linea;Origen;Destino;Solucion 1
Llobregat - Anoia;SANT BOI;MANRESA - VILADORDÍS;"Entrada per CARRER TORRES I BAGES: Accedeixi a l'estació per CARRER TORRES I BAGES, fent servir l'ascensor o mitjançant rampa, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(16 parades). Baixi a MANRESA - VILADORDÍS(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CARRER ARQUITECTE MONTAGUT: Dirigeixis cap a VESTÍBUL seguint indicador sortida. Surti de l'estació per CARRER ARQUITECTE MONTAGUT, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;GORNAL;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(6 parades). Baixi a GORNAL. 
 Per sortir per CARRER CARMEN AMAYA: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER CARMEN AMAYA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;SANT BOI;VALLBONA D'ANOIA;"Entrada per CARRER TORRES I BAGES: Accedeixi a l'estació per CARRER TORRES I BAGES, fent servir l'ascensor o mitjançant rampa, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(16 parades). Baixi a VALLBONA D'ANOIA. 
 Per sortir per CARRER MAJOR (B-224): Surti de l'estació per CARRER MAJOR (B-224).
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;MOLÍ NOU;COLÒNIA GÜELL;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S33,S4 o S8(1 parada). Baixi a COLÒNIA GÜELL. 
 Per sortir per CAMÍ TORRE SALVANA: Dirigeixis cap a VESTÍBUL PRINCIPAL seguint indicador sortida, mitjançant rampa. Surti de l'estació per CAMÍ TORRE SALVANA, passant per la validadora.
 Per sortir per COLÒNIA GÜELL: Vagi de l'andana de la via 1 fins l'andana de la via 2, mitjançant rampa i travessant la passera o passadís. Dirigeixis cap a VESTÍBUL ANDANA VIA 2 seguint indicador sortida. Surti de l'estació per COLÒNIA GÜELL, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;SANT BOI;CAPELLADES;"Entrada per CARRER TORRES I BAGES: Accedeixi a l'estació per CARRER TORRES I BAGES, fent servir l'ascensor o mitjançant rampa, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(17 parades). Baixi a CAPELLADES. 
 Per sortir per APARCAMENT: Surti de l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;STA. COLOMA DE CERVELLÓ;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R6(1 parada) o S33,S4 o S8(2 parades). Baixi a STA. COLOMA DE CERVELLÓ. 
 Per sortir per CARRER ANTONI SÀBAT AMAT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís. Surti de l'estació per CARRER ANTONI SÀBAT AMAT, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;ST. JOSEP;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(5 parades). Baixi a ST. JOSEP. 
 Per sortir per CARRER S. COMPOSTEL·LA - AV. CARRILET: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER S. COMPOSTEL·LA - AV. CARRILET, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;SANT ANDREU DE LA BARCA;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(5 parades) o R6(6 parades) o S4 o S8(7 parades). Baixi a SANT ANDREU DE LA BARCA. 
 Per sortir per PG RAFAEL DE CASANOVA (EST): Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, passant per la validadora. Surti de l'estació per PG RAFAEL DE CASANOVA (EST), fent servir l'ascensor.
 Per sortir per PG RAFAEL DE CASANOVA (OEST): Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, passant per la validadora. Surti de l'estació per PG RAFAEL DE CASANOVA (OEST), fent servir l'ascensor.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;CORNELLÀ - RIERA;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(2 parades). Baixi a CORNELLÀ - RIERA. 
 Per sortir per EDICLE SUD (VORERA LATERAL): Surti de l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;MOLÍ NOU;MARTORELL - VILA;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S4 o S8(9 parades). Baixi a MARTORELL - VILA. 
 Per sortir per ESTACIONAMENT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per ESTACIONAMENT, mitjançant rampa i travessant la passera o passadís, passant per la validadora.
 Per sortir per CARRETERA DE MARTORELL A TERRASSA: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRETERA DE MARTORELL A TERRASSA, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;CAN ROS;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(2 parades) o R6(3 parades) o S33,S4 o S8(4 parades). Baixi a CAN ROS. 
 Per sortir per CARRER LLOBREGAT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER LLOBREGAT, passant per la validadora.
 Per sortir per CARRER BADAJOZ / AVINGUDA FERROCARRIL: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER BADAJOZ / AVINGUDA FERROCARRIL, mitjançant rampa, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;MARTORELL - CENTRAL;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(7 parades) o R6(8 parades) o S4 o S8(10 parades). Baixi a MARTORELL - CENTRAL. 
 Per sortir per CARRER MONTSERRAT (INTERCANVIADOR): Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER MONTSERRAT (INTERCANVIADOR), passant per la validadora.
 Per sortir per CARRER MONTSERRAT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER MONTSERRAT, passant per la validadora.
 Per sortir per ESTACIONAMENT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per ESTACIONAMENT, fent servir l'ascensor o mitjançant rampa, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;ELS QUATRE CAMINS;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(3 parades) o R6(4 parades) o S4 o S8(5 parades). Baixi a ELS QUATRE CAMINS. 
 Per sortir per APARCAMENT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor o mitjançant rampa. Surti de l'estació per APARCAMENT, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;AERI DE MONTSERRAT;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(11 parades). Baixi a AERI DE MONTSERRAT(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per APARCAMENT: Surti de l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;PALLEJÀ;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(4 parades) o R6(5 parades) o S4 o S8(6 parades). Baixi a PALLEJÀ. 
 Per sortir per CARRER PI I MARGALL: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per CARRER PI I MARGALL, passant per la validadora.
 Per sortir per CARRER DE L'ESGLÈSIA: Vagi de l'andana de la via 1 fins l'andana de la via 2, fent servir l'ascensor i travessant la passera o passadís. Dirigeixis cap a VESTÍBUL ANDANA VIA 2 seguint indicador sortida. Surti de l'estació per CARRER DE L'ESGLÈSIA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;MOLÍ NOU;MANRESA - ALTA;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(16 parades). Baixi a MANRESA - ALTA. 
 Per sortir per CARRER DE SANT ANTONI MARIA CLARET: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per CARRER DE SANT ANTONI MARIA CLARET, mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;EL PALAU;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(6 parades) o R6(7 parades) o S4 o S8(8 parades). Baixi a EL PALAU. 
 Per sortir per CARRER PARC VALL PALAU: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per CARRER PARC VALL PALAU, fent servir l'ascensor o mitjançant rampa, passant per la validadora.
 Per sortir per CARRER ANOIA: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Vagi de VESTÍBUL ANDANA VIA 1 fins a VESTÍBUL ANDANA VIA 2, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís, passant per la validadora. Surti de l'estació per CARRER ANOIA, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;MANRESA - BAIXADOR;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(17 parades). Baixi a MANRESA - BAIXADOR(Només s'utilitza una andana per als dos sentits de circulació. És final de línia.). 
 Per sortir per CARRER PRIMER DE MAIG: Dirigeixis cap a VESTÍBUL NIVELL ANDANES seguint indicador sortida. Surti de l'estació per CARRER PRIMER DE MAIG, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;MARTORELL - ENLLAÇ;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(8 parades) o R6(9 parades) o S4 o S8(11 parades). Baixi a MARTORELL - ENLLAÇ. 
 Per sortir per AV. COMTE DE LLOBREGAT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per AV. COMTE DE LLOBREGAT, fent servir l'ascensor o mitjançant rampa, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;MOLÍ NOU;SANT ESTEVE SESROVIRES;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(10 parades). Baixi a SANT ESTEVE SESROVIRES. 
 Per sortir per PASSEIG DE L'ESTACIÓ: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per PASSEIG DE L'ESTACIÓ, fent servir l'ascensor i travessant la passera o passadís.
 Per sortir per CARRER VALLSERRAT - CARRER CONSTITUCIÓ: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CARRER VALLSERRAT - CARRER CONSTITUCIÓ, fent servir l'ascensor o mitjançant rampa.
 Per sortir per CARRER VALLSERRAT - CARRER CONSTITUCIÓ (ESTACIONAMENT): Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CARRER VALLSERRAT - CARRER CONSTITUCIÓ (ESTACIONAMENT), fent servir l'ascensor o mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;ABRERA;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(9 parades) o S4(12 parades). Baixi a ABRERA. 
 Per sortir per PG. ESTACIÓ: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per PG. ESTACIÓ, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís, passant per la validadora.
 Per sortir per AV. DEL CARRILET: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per AV. DEL CARRILET, mitjançant rampa, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;VALLBONA D'ANOIA;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(15 parades). Baixi a VALLBONA D'ANOIA. 
 Per sortir per CARRER MAJOR (B-224): Surti de l'estació per CARRER MAJOR (B-224).
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;MONISTROL DE MONTSERRAT;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(12 parades). Baixi a MONISTROL DE MONTSERRAT(Entre les 09.20 i les 13.40 les circulacions sentit Manresa s’estacionen a via 2 i les circulacions sentit Barcelona ho fan a la via 1 per facilitar el transbordament dels viatgers al Cremallera de Montserrat). 
 Per sortir per CARRER SALVADOR ESPRIU: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per CARRER SALVADOR ESPRIU, mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;LA POBLA DE CLARAMUNT;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(17 parades). Baixi a LA POBLA DE CLARAMUNT. 
 Per sortir per APARCAMENT (COSTAT VIA 2): Surti de l'estació per APARCAMENT (COSTAT VIA 2), mitjançant rampa i travessant la passera o passadís.
 Per sortir per AVDA. GUMERSIND BISBAL: Surti de l'estació per AVDA. GUMERSIND BISBAL, mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;MOLÍ NOU;CASTELLBELL I EL VILAR;"Entrada per CARRER EDUARD TOLDRÀ: Accedeixi a l'estació per CARRER EDUARD TOLDRÀ, travessant la passera o passadís, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, fent servir l'ascensor, vagi fins VESTÍBUL , passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(13 parades). Baixi a CASTELLBELL I EL VILAR(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CAMÍ DE L'ESTACIÓ: Surti de l'estació per CAMÍ DE L'ESTACIÓ.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;COLÒNIA GÜELL;PL. ESPANYA;"Entrada per CAMÍ TORRE SALVANA: Accedeixi a l'estació per CAMÍ TORRE SALVANA, vagi fins VESTÍBUL PRINCIPAL, passant per la validadora. Accedeixi a l'andana de la via 2, mitjançant rampa, situïs a l'embarcament PMR.
 Entrada per COLÒNIA GÜELL: Accedeixi a l'estació per COLÒNIA GÜELL, vagi fins VESTÍBUL ANDANA VIA 2, passant per la validadora. Accedeixi a l'andana de la via 2, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S33,S4 o S8(11 parades). Baixi a PL. ESPANYA. 
 Per sortir per GRAN VIA: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida. Vagi de VESTÍBUL INFERIOR fins a VESTÍBUL SUPERIOR, fent servir l'ascensor, passant per la validadora. Surti de l'estació per GRAN VIA, fent servir l'ascensor.
 Per sortir per METRO L1: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida. Surti de l'estació per METRO L1, travessant la passera o passadís, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
